Entry	Entry Name	Protein names	Gene Names	Length	Pfam	InterPro	Domain [FT]
P9WJQ3	NARG_MYCTU	Nitrate reductase alpha subunit (EC 1.7.5.1)	narG Rv1161	1232	PF00384;PF01568;	IPR009010;IPR037943;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006468;IPR050123;	DOMAIN 53..117; /note="4Fe-4S Mo/W bis-MGD-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01004"
P9WJU7	MMPL7_MYCTU	Phthiocerol dimycocerosate exporter MmpL7	mmpL7 Rv2942 MTCY24G1.07c	920	PF03176;	IPR004869;IPR050545;	
P9WJV5	MMPL3_MYCTU	Trehalose monomycolate exporter MmpL3 (TMM exporter MmpL3) (MmpL3 transporter) (Mycobacterial membrane protein large 3)	mmpL3 Rv0206c MTCY08D5.01c MTV033.14c	944	PF03176;	IPR004869;IPR050545;IPR000731;	
P9WJW3	ALKA_MYCTU	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (Regulatory protein AlkA) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); DNA-3-methyladenine glycosylase (EC 3.2.2.21) (DNA-3-methyladenine glycosidase)]	alkA ada Rv1317c MTCY130.02c	496	PF02805;PF06029;PF00730;PF12833;	IPR035451;IPR004026;IPR010316;IPR037046;IPR051912;IPR011257;IPR003265;IPR023170;IPR009057;IPR018060;IPR018062;	DOMAIN 87..185; /note="HTH araC/xylS-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00593"
P9WJY3	MFS55_MYCTU	Triacylglyceride transporter Rv1410c (MFS-type drug efflux transporter P55)	Rv1410c	518	PF07690;	IPR011701;IPR020846;IPR036259;IPR005829;	
P9WK09	MYMT_MYCTU	Metallothionein (MT) (Copper-binding metallothionein) (Cu(I)-binding metallothionein) (Mycobacterial metallothionein)	mymT Rv0186A	53			
P9WK17	MASZ_MYCTU	Malate synthase G (EC 2.3.3.9)	glcB Rv1837c MTCY1A11.06	741	PF20659;PF20656;PF01274;PF20658;	IPR044856;IPR011076;IPR001465;IPR006253;IPR048355;IPR048356;IPR046363;IPR048357;	
P9WK19	MAP12_MYCTU	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	map mapB Rv2861c MTV003.07c	285	PF00557;	IPR036005;IPR000994;IPR001714;IPR002467;	
P9WK21	MAP11_MYCTU	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M)	map-1 mapA Rv0734	266	PF00557;	IPR036005;IPR000994;IPR001714;IPR002467;	
P9WK45	LPRG_MYCTU	Lipoarabinomannan carrier protein LprG (27 kDa lipoprotein) (Antigen P27) (Lipoprotein LprG) (Triacylated glycolipid carrier LprG) (Triacylglyceride transfer protein LprG)	lprG lpp-27 Rv1411c MTCY21B4.28c	236	PF07161;	IPR029046;IPR009830;	
P9WK47	LPRF_MYCTU	Putative diacylated glycolipid transporter LprF (Lipoprotein LprF)	lprF Rv1368 MTCY02B12.02	261	PF07161;	IPR029046;IPR009830;	
P9WK61	LPQH_MYCTU	Lipoprotein LpqH (19 kDa lipoprotein antigen) (Putative transporter LpqH) (p19)	lpqH Rv3763 MTV025.111	159	PF05481;	IPR008691;	
P9WK65	LPPX_MYCTU	Putative phthiocerol dimycocerosate transporter LppX (Lipoprotein LppX)	lppX Rv2945c MTCY24G1.04	233	PF07161;	IPR029046;IPR009830;	
P9WK83	LIPB_MYCTU	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB Rv2217 MTCY190.28	230	PF21948;	IPR045864;IPR004143;IPR000544;IPR020605;	DOMAIN 38..215; /note="BPL/LPL catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01067"
P9WK87	NLHH_MYCTU	Carboxylesterase NlhH (EC 3.1.1.1) (NLH-H)	nlhH lipH Rv1399c	319	PF07859;	IPR013094;IPR029058;IPR050300;	
P9WKC3	TGS4_MYCTU	Probable diacyglycerol O-acyltransferase Tgs4 (TGS4) (EC 2.3.1.20) (Probable triacylglycerol synthase tgs4)	tgs4 Rv3088 MTV013.09	474	PF06974;PF03007;	IPR014292;IPR045034;IPR009721;IPR004255;	
P9WKC7	TGS2_MYCTU	Probable diacyglycerol O-acyltransferase tgs2 (TGS2) (Diacylglycerol O-acyltransferase) (DGAT) (EC 2.3.1.20) (Long-chain-alcohol O-fatty-acyltransferase) (EC 2.3.1.75) (Probable triacylglycerol synthase tgs2) (Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase) (Wax synthase) (WS)	tgs2 Rv3734c MTV025.082c	454	PF06974;PF03007;	IPR014292;IPR045034;IPR009721;IPR004255;	
P9WKC9	TGS1_MYCTU	Probable diacyglycerol O-acyltransferase tgs1 (TGS1) (EC 2.3.1.20) (Probable triacylglycerol synthase tgs1)	tgs1 Rv3130c MTCY03A2.28 MTCY164.41c	463	PF06974;PF03007;	IPR014292;IPR045034;IPR009721;IPR004255;	
P9WKD1	PBPA_MYCTU	Peptidoglycan D,D-transpeptidase PbpA (EC 3.4.16.4) (Penicillin-binding protein A) (PBPA)	pbpA Rv0016c MTCY10H4.16c	491	PF21922;PF00905;	IPR050515;IPR012338;IPR054120;IPR001460;	
P9WKD3	BLAC_MYCTU	Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase)	blaC blaA Rv2068c MTCY49.07c	307	PF13354;	IPR012338;IPR045155;IPR000871;IPR023650;	
P9WKD7	RPIB_MYCTU	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	rpiB Rv2465c MTV008.21c	162	PF02502;	IPR011860;IPR003500;IPR036569;	
P9WKE1	KTHY_MYCTU	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk Rv3247c	214	PF02223;	IPR027417;IPR039430;IPR018095;IPR018094;	
P9WKE3	KPRS_MYCTU	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA Rv1017c MTCY10G2.32	326	PF14572;PF13793;	IPR000842;IPR029099;IPR000836;IPR029057;IPR005946;IPR037515;	
P9WKF5	KAD_MYCTU	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk Rv0733 MTV041.07	181	PF00406;	IPR000850;IPR033690;IPR027417;	
P9WKH1	FPPS_MYCTU	(2E,6E)-farnesyl diphosphate synthase (E,E-FPP synthase) (FPP synthase) (EC 2.5.1.10)	Rv3398c MTCY78.30	359	PF00348;	IPR008949;IPR000092;IPR033749;	
P9WKH3	MHUD_MYCTU	Heme oxygenase (mycobilin-producing) (EC 1.14.99.57) (Mycobacterial heme utilization, degrader) (MHUD)	mhuD Rv3592	105	PF03992;	IPR007138;IPR011008;IPR050404;	DOMAIN 3..92; /note="ABM"
P9WKI7	IMDH_MYCTU	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (IMPDH2)	guaB guaB2 Rv3411c MTCY78.17	529	PF00571;PF00478;	IPR013785;IPR000644;IPR046342;IPR005990;IPR015875;IPR001093;	DOMAIN 129..185; /note="CBS 1"; /evidence="ECO:0000255|HAMAP-Rule:MF_01964"; DOMAIN 189..246; /note="CBS 2"; /evidence="ECO:0000255|HAMAP-Rule:MF_01964"
P9WKI9	SUHB_MYCTU	Inositol-1-monophosphatase SuhB (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB Rv2701c MTCY05A6.22c	290	PF00459;	IPR033942;IPR020583;IPR000760;IPR020550;	
P9WKJ1	CYSQ_MYCTU	3'-phosphoadenosine 5'-phosphate phosphatase (PAP phosphatase) (EC 3.1.3.7) (3'(2'),5'-bisphosphate nucleotidase) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (D-fructose-1,6-bisphosphate 1-phosphohydrolase) (DPNPase) (Fructose-1,6-bisphosphatase) (FBPase) (EC 3.1.3.11) (Inositol-1-monophosphatase) (I-1-Pase) (IMPase) (EC 3.1.3.25) (Inositol-1-phosphatase)	cysQ Rv2131c MTCY270.37	267	PF00459;	IPR050725;IPR020583;IPR000760;	
P9WKJ5	ILVD_MYCTU	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD Rv0189c MTCI28.28c	575	PF24877;PF00920;	IPR050165;IPR042096;IPR004404;IPR020558;IPR056740;IPR000581;IPR037237;	
P9WKJ7	ILVC_MYCTU	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC Rv3001c MTV012.15c	337	PF01450;PF07991;	IPR008927;IPR013023;IPR000506;IPR013116;IPR014359;IPR036291;	DOMAIN 3..183; /note="KARI N-terminal Rossmann"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01197"; DOMAIN 184..329; /note="KARI C-terminal knotted"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01198"
P9WKK7	ACEA_MYCTU	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	icl Rv0467 MTV038.11	428	PF00463;	IPR006254;IPR018523;IPR015813;IPR040442;	
P9WKL1	IDH1_MYCTU	Isocitrate dehydrogenase [NADP] 1 (ICD-1) (ICDH-1) (IDH 1) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd-1 icd Rv3339c MTV016.39c	409	PF00180;	IPR019818;IPR004790;IPR024084;	
P9WKL5	HTM_MYCTU	2-heptyl-1-hydroxyquinolin-4(1H)-one methyltransferase (HQNO methyltransferase) (HQNO-MTase) (EC 2.1.1.374) (Heterocyclic toxin methyltransferase)	htm Rv0560c	241	PF13649;	IPR041698;IPR029063;	
P9WKQ1	SMASE_MYCTU	Sphingomyelinase (SMase) (EC 3.1.4.12)	spmT Rv0888 MTCY31.16	490	PF17963;PF03372;	IPR036691;IPR005135;	
P9WKY5	HAT_MYCTU	Histone acetyltransferase (HAT) (EC 2.3.1.48)	Rv3423.1	76			
P9WKZ1	ATSK_MYCTU	Alpha-ketoglutarate-dependent sulfate ester dioxygenase (EC 1.14.11.77) (Type II alkyl sulfatase)	Rv3406 MTCY78.22c	295	PF02668;	IPR051323;IPR042098;IPR003819;	
P9WLH5	RNHPH_MYCTU	Bifunctional protein Rv2228c [Includes: Ribonuclease H (EC 3.1.26.4); Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73)]	Rv2228c MTCY427.09c	364	PF00300;PF13456;	IPR013078;IPR029033;IPR050275;IPR012337;IPR014636;IPR002156;IPR036397;	DOMAIN 1..139; /note="RNase H type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00408"
P9WLL7	FBVR_MYCTU	F420H(2)-dependent biliverdin reductase (F-BVR) (EC 1.3.98.-)	Rv2074 MTCY49.13	137	PF01243;	IPR019920;IPR052019;IPR011576;IPR012349;	
P9WLP9	MBCT_MYCTU	NAD(+) phosphorylase MbcT (EC 2.4.2.-) (Mycobacterial cidal toxin MbcT) (Toxin Res) (ucAT8 toxin)	mbcT Rv1989c MTCY39.30	186	PF08808;	IPR014914;	
P9WLZ7	MTDRP_MYCTU	Multidomain regulatory protein Rv1364c (Anti-sigma-F factor Rv1364c) (Anti-SigF factor) (Protein-serine/threonine phosphatase) (EC 3.1.3.16) (Putative multidomain regulator of SigF) (MursiF) (Serine/threonine-protein kinase) (EC 2.7.11.1)	Rv1364c MTCY02B10.28c	653	PF13581;PF08448;PF07228;PF01740;	IPR052016;IPR036890;IPR000014;IPR000700;IPR035965;IPR013656;IPR036457;IPR001932;IPR002645;IPR036513;	DOMAIN 86..142; /note="PAC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00141"; DOMAIN 177..396; /note="PPM-type phosphatase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01082"; DOMAIN 546..653; /note="STAS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00198"
P9WM39	ESTR_MYCTU	Esterase Rv1288 (EC 3.1.1.-)	Rv1288 MTCY373.07	456	PF00756;PF01476;	IPR029058;IPR000801;IPR018392;IPR036779;IPR050583;	DOMAIN 3..50; /note="LysM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01118"; DOMAIN 54..101; /note="LysM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01118"; DOMAIN 105..152; /note="LysM 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01118"
P9WM67	INLPD_MYCTU	(2E)-enoyl-[ACP] glycyltransferase (EC 4.3.2.11) ((2E)-unsaturated fatty acyl-[ACP] glycyltransferase) (Long-chain fatty acyl-CoA thioesterase FcoT) (EC 3.1.2.-) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2)	fcoT Rv0098 MTCY251.17	183	PF10862;	IPR022598;IPR043064;	
P9WMC1	ETHR_MYCTU	HTH-type transcriptional regulator EthR	ethR etaR Rv3855	216	PF21313;PF00440;	IPR049397;IPR009057;IPR050109;IPR001647;IPR036271;	DOMAIN 23..83; /note="HTH tetR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00335"
P9WMF5	LYSG_MYCTU	HTH-type transcriptional regulator LysG	lysG argP Rv1985c MTCY39.34	303	PF00126;PF03466;	IPR017685;IPR050176;IPR005119;IPR000847;IPR036388;IPR036390;	DOMAIN 6..62; /note="HTH lysR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00253"
P9WMF9	DEVR_MYCTU	DNA-binding transcriptional activator DevR/DosR	devR dosR Rv3133c	217	PF00196;PF00072;	IPR011006;IPR016032;IPR001789;IPR000792;IPR039420;	DOMAIN 3..119; /note="Response regulatory"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00169"; DOMAIN 143..208; /note="HTH luxR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00411"
P9WMH1	IDER_MYCTU	Iron-dependent repressor IdeR	ideR dtxR Rv2711 MTCY05A6.32	230	PF18357;PF02742;PF01325;	IPR040767;IPR050536;IPR007167;IPR001367;IPR036421;IPR038157;IPR022687;IPR022689;IPR008988;IPR036388;IPR036390;	DOMAIN 4..65; /note="HTH dtxR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00296"
P9WMH3	CRPL_MYCTU	CRP-like cAMP-activated global transcriptional regulator (cAMP receptor protein) (CRP) (cAMP regulatory protein)	crp Rv3676	224	PF00027;PF13545;	IPR000595;IPR018490;IPR050397;IPR012318;IPR014710;IPR036388;IPR036390;	DOMAIN 144..217; /note="HTH crp-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00387"
P9WMH7	CLGR_MYCTU	Transcriptional regulator ClgR (ClpR-like regulator) (clp gene regulator)	clgR Rv2745c	112	PF01381;	IPR049655;IPR001387;IPR010982;	DOMAIN 13..67; /note="HTH cro/C1-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00257"
P9WMI9	CMTR_MYCTU	HTH-type transcriptional regulator CmtR	cmtR Rv1994c MTCY39.25	118	PF01022;	IPR011991;IPR001845;IPR052543;IPR036388;IPR036390;	DOMAIN 3..97; /note="HTH arsR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00340"
P9WMJ9	DNAK_MYCTU	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK Rv0350 MTCY13E10.10	625	PF00012;	IPR043129;IPR012725;IPR018181;IPR029048;IPR029047;IPR013126;	
P9WMK1	ACR_MYCTU	Alpha-crystallin (Acr) (14 kDa antigen) (16 kDa antigen) (HSP 16.3) (Nox16)	hspX acr Rv2031c MTV018.18c	144	PF00011;	IPR002068;IPR008978;IPR031107;	DOMAIN 33..143; /note="sHSP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00285"
P9WMK5	HOA_MYCTU	4-hydroxy-2-oxohexanoate aldolase (EC 4.1.3.43) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase) (4-hydroxy-2-oxovalerate aldolase) (HOA) (EC 4.1.3.39)	hsaF Rv3534c	346	PF07836;PF00682;	IPR050073;IPR017629;IPR013785;IPR012425;IPR035685;IPR000891;	DOMAIN 7..259; /note="Pyruvate carboxyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01151"
P9WMK7	DBH_MYCTU	DNA-binding protein HupB (HupB) (EC 1.16.3.1) (28 kDa iron-regulated protein) (Irep-28) (DNA-binding protein HU homolog) (Histone H1 homolog) (Histone-like protein) (HLPMt) (Hlp) (Nucleoid-associated protein HU) [Cleaved into: DNA-binding protein HupB, propeptide removed]	hupB hlp hup lbp21 Rv2986c MTCY349.01	216	PF00216;	IPR000119;IPR020816;IPR010992;	
P9WMK9	AP4A_MYCTU	AP-4-A phosphorylase (EC 2.7.7.53) (ATP adenylyltransferase) (Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase) (AP,A phosphorylase)	Rv2613c	195	PF01230;	IPR052908;IPR039383;IPR011146;IPR036265;	DOMAIN 57..166; /note="HIT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00464"
P9WML5	PATR_MYCTU	Aromatic amino acid aminotransferase (ArAT) (EC 2.6.1.57) (Phenylalanine aminotransferase)	pat hisC2 Rv3772 MTCY13D12.06	353	PF00155;	IPR001917;IPR004839;IPR024892;IPR005861;IPR050106;IPR015424;IPR015421;IPR015422;	
P9WML7	HIS8_MYCTU	Histidinol-phosphate aminotransferase (HspAT) (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC hisC1 Rv1600 MTCY336.04c	380	PF00155;	IPR001917;IPR004839;IPR005861;IPR015424;IPR015421;IPR015422;	
P9WMN3	GLMU_MYCTU	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU Rv1018c	495	PF00132;PF12804;	IPR005882;IPR050065;IPR038009;IPR001451;IPR025877;IPR029044;IPR011004;	
P9WMN7	MOEZ_MYCTU	Probable adenylyltransferase/sulfurtransferase MoeZ [Includes: Sulfur carrier protein CysO adenylyltransferase (EC 2.7.7.-); Sulfur carrier protein CysO sulfurtransferase (EC 2.8.1.-)]	moeZ moeB1 Rv3206c	392	PF00581;PF00899;	IPR001763;IPR036873;IPR045886;IPR000594;IPR035985;	DOMAIN 300..390; /note="Rhodanese"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00173"
P9WMP9	UVRD2_MYCTU	ATP-dependent DNA helicase UvrD2 (EC 5.6.2.4) (DNA 3'-5' helicase UvrD2)	uvrD2 Rv3198c MTV014.42c	700	PF00570;PF00580;PF13361;	IPR013986;IPR014017;IPR000212;IPR010997;IPR002121;IPR044876;IPR027417;IPR014016;	DOMAIN 10..301; /note="UvrD-like helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00560"; DOMAIN 302..553; /note="UvrD-like helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00617"; DOMAIN 626..700; /note="HRDC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00328"
P9WMQ1	UVRD1_MYCTU	ATP-dependent DNA helicase UvrD1 (EC 5.6.2.4) (DNA 3'-5' helicase UvrD1)	uvrD1 ivrd pcrA Rv0949 MTCY10D7.25c	771	PF21196;PF00580;PF13361;	IPR005751;IPR013986;IPR014017;IPR000212;IPR027417;IPR014016;	DOMAIN 21..311; /note="UvrD-like helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00560"; DOMAIN 312..603; /note="UvrD-like helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00617"
P9WMQ3	RECB_MYCTU	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB Rv0630c MTCY20H10.11c	1094	PF12705;PF00580;PF13361;	IPR014017;IPR000212;IPR027417;IPR011604;IPR038726;IPR004586;IPR011335;IPR014016;	DOMAIN 1..326; /note="UvrD-like helicase ATP-binding"; /evidence="ECO:0000255|HAMAP-Rule:MF_01485"; DOMAIN 357..613; /note="UvrD-like helicase C-terminal"; /evidence="ECO:0000255|HAMAP-Rule:MF_01485"
P9WMQ7	RECG_MYCTU	ATP-dependent DNA helicase RecG (EC 5.6.2.3) (EC 5.6.2.4) (DNA 3'-5'/5'-3' helicase RecG) (DNA branch migration protein RecG)	recG Rv2973c MTCY349.14	737	PF00270;PF00271;PF17191;	IPR004609;IPR011545;IPR014001;IPR001650;IPR012340;IPR027417;IPR047112;IPR033454;	DOMAIN 302..477; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 514..673; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542"
P9WMR3	DNAB_MYCTU	Replicative DNA helicase DnaB (EC 5.6.2.3) (DNA 5'-3' helicase DnaB) [Cleaved into: Endonuclease PI-MtuHIP (EC 3.1.-.-) (Mtu DnaB intein)]	dnaB Rv0058 MTCY21D4.21	874	PF00772;PF03796;PF14890;PF14528;	IPR003593;IPR036185;IPR007692;IPR007694;IPR007693;IPR016136;IPR003586;IPR003587;IPR036844;IPR027434;IPR006142;IPR030934;IPR004042;IPR006141;IPR004860;IPR027417;	DOMAIN 195..462; /note="SF4 helicase; first part"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00596"; DOMAIN 582..660; /note="DOD-type homing endonuclease"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00273"; DOMAIN 612..874; /note="SF4 helicase; second part"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00596"
P9WMS7	GUAA_MYCTU	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA Rv3396c MTCY78.32	525	PF00117;PF00958;PF02540;	IPR029062;IPR017926;IPR001674;IPR004739;IPR022955;IPR025777;IPR022310;IPR014729;	DOMAIN 16..205; /note="Glutamine amidotransferase type-1"; DOMAIN 206..399; /note="GMPS ATP-PPase"
P9WMT1	OBG_MYCTU	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg Rv2440c	479	PF09269;PF01018;PF01926;	IPR031167;IPR006073;IPR014100;IPR036346;IPR006074;IPR006169;IPR036726;IPR045086;IPR015349;IPR027417;	DOMAIN 2..159; /note="Obg"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01231"; DOMAIN 160..340; /note="OBG-type G"; /evidence="ECO:0000255|HAMAP-Rule:MF_01454"; DOMAIN 358..436; /note="OCT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01229"
P9WMU1	WAG31_MYCTU	Cell wall synthesis protein Wag31 (Antigen 84)	wag31 ag84 Rv2145c MTCY270.23	260	PF05103;	IPR019933;IPR007793;	
P9WMU9	Y1264_MYCTU	pH-sensitive adenylate cyclase Rv1264 (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	Rv1264 MTCY50.18c	397	PF16701;PF00211;	IPR001054;IPR032026;IPR050697;IPR029787;	DOMAIN 217..325; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099"
P9WMW9	GPGS_MYCTU	Glucosyl-3-phosphoglycerate synthase (GpgS) (EC 2.4.1.266) (Retaining glucosyltransferase)	gpgS Rv1208	324	PF00535;	IPR001173;IPR050256;IPR029044;	
P9WMX3	GLFT1_MYCTU	Galactofuranosyltransferase GlfT1 (GalTr 1) (EC 2.4.1.287) (Arabinogalactan galactosyltransferase 1) (Rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase) (UDP-Galf:alpha-3-L-rhamnosyl-alpha-D-GlcNAc-pyrophosphate polyprenol, galactofuranosyl transferase)	glfT1 Rv3782	304	PF00535;	IPR001173;IPR029044;	
P9WMY3	WBBL_MYCTU	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase (EC 2.4.1.289) (Rhamnosyltransferase WbbL) (dTDP-Rha:alpha-D-GlcNAc-pyrophosphate polyprenol, alpha-3-L-rhamnosyltransferase)	wbbL wbbL1 Rv3265c	307	PF00535;	IPR001173;IPR029044;	
P9WMZ1	GLGM_MYCTU	Alpha-maltose-1-phosphate synthase (M1P synthase) (EC 2.4.1.342) (ADP-alpha-D-glucose:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase) (M1P-producing glucosyltransferase)	glgM glgA Rv1212c	387	PF13439;PF00534;	IPR001296;IPR028098;IPR011875;	
P9WMZ5	PIMA_MYCTU	Phosphatidyl-myo-inositol mannosyltransferase (EC 2.4.1.345) (Alpha-mannosyltransferase) (GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase)	pimA Rv2610c MTCY01A10.23	378	PF13692;PF13439;	IPR028098;IPR050194;	
P9WN03	AFTA_MYCTU	Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA)	aftA Rv3792	643	PF12249;PF12250;	IPR020959;IPR020963;	
P9WN05	PMT_MYCTU	Polyprenol-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.-) (MtPMT) (PMTub) (Protein O-mannosyltransferase) (PMT)	pmt Rv1002c MTCI237.17c	522	PF02366;PF16192;	IPR027005;IPR003342;IPR032421;	
P9WN11	OTSA_MYCTU	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (EC 2.4.1.347) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA)	otsA Rv3490	500	PF00982;	IPR001830;	
P9WN21	GLPX_MYCTU	Fructose-1,6-bisphosphatase class 2 (FBPase class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2) (Fructose 1,6-bisphosphatase II)	glpX Rv1099c	362	PF03320;	IPR004464;	
P9WN23	TRHBO_MYCTU	Group 2 truncated hemoglobin GlbO (Hemoglobin-like protein HbO) (Truncated hemoglobin) (trHbO)	glbO Rv2470 MTV008.26	128	PF01152;	IPR044203;IPR009050;IPR012292;IPR019795;IPR001486;	
P9WN25	TRHBN_MYCTU	Group 1 truncated hemoglobin GlbN (Truncated hemoglobin) (trHbN) (Hemoglobin-like protein HbN)	glbN Rv1542c MTCY48.23	136	PF01152;	IPR009050;IPR012292;IPR019795;IPR001486;IPR016339;	
